date,portfolio_value,cash,positions_value
2015-01-01,100000.00000000001,1.0913936421275139e-11,100000.0
2015-01-04,97599.00046655851,1.0913936421275139e-11,97599.0004665585
2015-01-05,96164.85387376834,1.0913936421275139e-11,96164.85387376833
2015-01-06,96284.59774636738,1.0913936421275139e-11,96284.59774636736
2015-01-07,98187.81858892346,1.0913936421275139e-11,98187.81858892344
2015-01-08,97529.19187652526,1.0913936421275139e-11,97529.19187652525
2015-01-11,96056.90215178546,1.0913936421275139e-11,96056.90215178544
2015-01-12,96727.00905139513,1.0913936421275139e-11,96727.00905139511
2015-01-13,95839.02636263082,1.0913936421275139e-11,95839.0263626308
2015-01-14,94165.53998880593,1.0913936421275139e-11,94165.53998880592
2015-01-15,94975.4298763604,1.0913936421275139e-11,94975.42987636039
2015-01-19,95073.49621479727,1.0913936421275139e-11,95073.49621479725
2015-01-20,98808.38553675894,1.0913936421275139e-11,98808.38553675893
2015-01-21,101408.23335331341,1.0913936421275139e-11,101408.2333533134
2015-01-22,101988.31807618188,1.0913936421275139e-11,101988.31807618187
2015-01-25,103133.97297377283,1.0913936421275139e-11,103133.97297377282
2015-01-26,100936.071776787,1.0913936421275139e-11,100936.07177678698
2015-01-27,99484.1254553226,1.0913936421275139e-11,99484.12545532259
2015-01-28,101186.01457224615,1.0913936421275139e-11,101186.01457224613
2015-01-29,101739.13908418921,1.0913936421275139e-11,101739.1390841892
2015-02-01,103490.2091626095,1.2732925824820995e-11,103490.20916260949
2015-02-02,105336.7611578479,1.2732925824820995e-11,105336.76115784788
2015-02-03,105662.47220083262,1.2732925824820995e-11,105662.4722008326
2015-02-04,108601.61862464086,1.2732925824820995e-11,108601.61862464085
2015-02-05,107002.62041496995,1.2732925824820995e-11,107002.62041496993
2015-02-08,106613.83397595266,1.2732925824820995e-11,106613.83397595264
2015-02-09,107932.2627584013,1.2732925824820995e-11,107932.26275840128
2015-02-10,108045.76141453389,1.2732925824820995e-11,108045.76141453387
2015-02-11,109729.09515057008,1.2732925824820995e-11,109729.09515057007
2015-02-12,111013.04716045492,1.2732925824820995e-11,111013.04716045491
2015-02-16,110511.01338151508,1.2732925824820995e-11,110511.01338151506
2015-02-17,110513.3810688947,1.2732925824820995e-11,110513.38106889468
2015-02-18,111008.88517073411,1.2732925824820995e-11,111008.8851707341
2015-02-19,111946.23777439367,1.2732925824820995e-11,111946.23777439365
2015-02-22,111075.43535494951,1.2732925824820995e-11,111075.4353549495
2015-02-23,111085.6179419445,1.2732925824820995e-11,111085.61794194448
2015-02-24,111247.31682427968,1.2732925824820995e-11,111247.31682427967
2015-02-25,113401.46908187689,1.2732925824820995e-11,113401.46908187687
2015-02-26,112533.53014169658,1.2732925824820995e-11,112533.53014169657
2015-03-01,113415.48886440431,170.14737530857383,113245.34148909574
2015-03-02,112531.46999862659,170.14737530857383,112361.32262331802
2015-03-03,111776.4365993445,170.14737530857383,111606.28922403592
2015-03-04,111744.781638618,170.14737530857383,111574.63426330943
2015-03-05,109727.1132379665,170.14737530857383,109556.96586265793
2015-03-08,109725.61172906833,170.14737530857383,109555.46435375976
2015-03-09,108174.17081101189,170.14737530857383,108004.02343570332
2015-03-10,107704.68922617073,170.14737530857383,107534.54185086215
2015-03-11,107865.61265719168,170.14737530857383,107695.46528188311
2015-03-12,107087.71426480573,170.14737530857383,106917.56688949716
